Name,Year,Domestic,Foreign
Come Undone, (2010),"$10,035","$3,091,430"
I'll Be There, (2010),"$928,937","$928,937"
I Want You, (2012),"$24,016,152","$24,016,152"
I'll Sing for You, (2001),"$9,425","$15,465"
I'll Sleep When I'm Dead, (2003),"$360,759","$130,205"
Billy Elliot, (2000),"$21,995,263","$87,287,755"
A Stranger, (2013),"$14,707","$14,707"
I've Loved You So Long, (2008),"$3,169,305","$19,104,790"
I'm Not Scared, (2003),"$1,615,328","$5,739,090"
"I, Anna", (2012),"$391,413","$391,413"
Ida, (2013),"$3,827,060","$7,329,776"
5 Flights Up, (2014),"$1,020,921","$2,658,926"
Pride and Prejudice and Zombies, (2016),"$10,938,134","$5,519,360"
If Only, (2004),"$5,275,103","$5,275,103"
Ill Manors, (2012),"$714,441","$714,441"
Ignition, (2001),"$374,654","$374,654"
Blessed by Fire, (2005),"$775,186","$775,186"
Imagine Me & You, (2005),"$672,243","$1,963,062"
Unknown, (2011),"$63,686,397","$72,023,632"
IF, (2024),"$111,149,917","$79,159,790"
Imagining Argentina, (2003),"$8,899","$374,207"
Immortal, (2004),"$7,172,452","$7,172,452"
A Dark Place, (2018),"$9,212","$9,212"
Ludovic II: un crocodile dans mon jardin, (2001),"$41,793","$41,793"
Dinner in America, (2020),"$22,394","$22,394"
In My Father's Den, (2004),"$1,627,788","$1,627,788"
In My Country, (2004),"$163,893","$1,327,541"
In Prison My Whole Life, (2007),"$2,367","$2,367"
In the Name of the Land, (2019),"$15,528,303","$15,528,303"
In the Loop, (2009),"$2,388,804","$5,398,683"
In Search of Fellini, (2017),"$12,772","$12,497"
Ghost in Transit, (2020),"$69,013","$69,013"
In the Shadow of the Moon, (2007),"$1,134,358","$1,027,011"
In the Name of the Father, (1993),"$25,096,862","$40,700,000"
Shadow in the Cloud, (2020),"$156,932","$897,358"
In Which We Serve, (1942),$247,$247
Incendiary, (2008),"$304,127","$304,127"
Paradise for the Damned, (2013),"$73,244","$73,244"
The Cabin in the Woods, (2011),"$42,073,277","$27,965,561"
Inconceivable, (2017),"$259,635","$259,635"
Incident in a Ghostland, (2018),"$5,620,406","$5,620,406"
Kabus, (2018),"$8,832","$8,832"
In This World, (2002),"$84,299","$237,798"
Discreet, (2008),"$11,642","$11,642"
Indian Summer, (1972),"$3,723","$3,723"
The Libertines: There Are No Innocent Bystanders, (2011),"$14,572","$14,572"
Ghost in the Shell 2: Innocence, (2004),"$1,334,074","$8,789,241"
In questo mondo di ladri, (2004),"$1,429,208","$1,429,208"
Pokémon the Movie: Volcanion and the Mechanical Marvel, (2016),"$19,727,392","$19,727,392"
Once We Were Good for You, (2021),"$22,451","$22,451"
The Room, (2003),"$549,602","$4,438,839"
The Insult, (2017),"$1,001,305","$2,664,931"
Interlude, (2016),"$1,296","$1,296"
Intimacy, (2001),"$405,094","$2,267,433"
Intermission, (2003),"$896,993","$4,278,222"
Licence to Kill, (1989),"$34,667,015","$121,500,000"
Between Worlds, (2018),"$146,339","$146,339"
Intruders, (2011),"$69,136","$5,417,423"
Irina Palm, (2007),"$44,383","$10,566,452"
Leaning Into The Wind, (2017),"$400,530","$51,842"
Into the Abyss, (2011),"$223,880","$169,834"
Iron Maiden: Flight 666, (2009),"$233,193","$233,193"
Iris, (2001),"$5,594,617","$10,559,336"
Ironclad, (2011),"$5,151,023","$5,151,023"
Les enfants d'Isadora, (2019),"$2,493","$2,493"
Isn't She Great, (2000),"$2,962,465","$40,831"
Is Anybody There?, (2008),"$2,026,756","$1,341,544"
Isolation, (2024),"$306,380","$306,380"
Wings of Desire, (1987),"$3,333,969","$183,196"
It Always Rains on Sunday, (1947),"$14,276","$24,037"
Love Again, (2023),"$6,230,837","$6,465,747"
It Only Takes a Night, (2023),"$6,460","$6,460"
It Happened One Night, (1934),"$14,709","$14,709"
It's a Boy Girl Thing, (2006),$848,"$7,384,831"
It's a Free World..., (2007),"$6,645,036","$6,645,036"
It's All About Love, (2003),"$6,140","$472,856"
It, (2017),"$328,874,981","$375,367,570"
It's a Wonderful Afterlife, (2010),"$1,321,438","$1,321,438"
It's All Gone Pete Tong, (2004),"$120,620","$1,514,436"
"It's a Great, Great World", (2011),"$1,984,489","$1,984,489"
It's in the Woods, (2022),"$2,174,239","$2,174,239"
It's Hard to Be Nice, (2007),"$19,632","$19,632"
"It's Not You, It's Me", (2004),"$3,125,254","$3,125,254"
Ivanov, (2018),"$5,246","$5,246"
"It's Not You, It's Me", (2010),"$1,339,911","$9,962,045"
Crook: It's Good to Be Bad, (2010),"$27,345","$27,345"
The Invisible, (2007),"$20,578,909","$6,231,204"
Jackboots on Whitehall, (2010),"$20,776","$20,776"
One Man and His Cow, (2016),"$8,003,756","$8,003,756"
You Changed My Life, (2009),"$4,727,411","$4,727,411"
Jailbirds, (2015),"$1,263,389","$1,263,389"
The Hurt Locker, (2008),"$17,017,811","$32,241,955"
Inna De Yard, (2019),"$99,914","$99,914"
My Sassy Girl, (2001),"$365,429","$365,429"
Java Heat, (2013),"$1,061","$188,678"
Dora and the Lost City of Gold, (2019),"$60,477,943","$60,119,165"
Tom & Jerry, (2021),"$46,536,687","$90,000,000"
Rosa & Dara a jejich dobrodruzství, (2015),"$1,629","$1,629"
Jetlag, (2021),"$30,613","$30,613"
The Jewel, (2011),"$1,368,586","$1,368,586"
The Messenger: The Story of Joan of Arc, (1999),"$14,276,317","$52,700,000"
Jig, (2011),"$183,790","$179,530"
Unfinished Business, (2015),"$10,219,501","$4,211,752"
Story of Jen, (2008),"$36,129","$36,129"
Snatch, (2000),"$30,328,156","$53,229,716"
Romeo + Juliet, (1996),"$46,351,345","$101,203,653"
The Death & Life of John F. Donovan, (2018),"$152,713","$3,173,651"
Joe Strummer: The Future Is Unwritten, (2007),"$248,362","$945,129"
The Prey, (2011),"$13,959","$3,088,707"
A Life on the Farm, (2022),"$2,663","$2,663"
Journey Into Gaza, (2024),"$58,116","$58,116"
Men & Chicken, (2015),"$30,207","$4,735,265"
Joy Division, (2006),"$283,599","$283,599"
Journey to Bethlehem, (2023),"$6,820,796","$957,534"
Jubilee, (1978),$923,$923
Journey's End, (2017),"$161,796","$809,013"
Julius Caesar, (1953),"$10,831","$10,831"
Julie & Julia, (2009),"$94,125,426","$35,415,096"
Two for Joy, (2018),"$9,162","$9,162"
More Than Just a Game, (2007),"$15,542","$15,542"
Just Like a Woman, (2012),"$11,403","$22,803"
Justine, (2016),$425,$425
Bring It On, (2000),"$68,379,000","$22,070,929"
One More Time, (2015),"$8,317","$8,317"
Kaleidoscope, (2016),"$6,980","$6,980"
K-19: The Widowmaker, (2002),"$35,168,966","$30,547,160"
Just My Luck, (2006),"$17,326,650","$20,833,255"
Katalin Varga, (2009),"$28,399","$28,399"
Hart's War, (2002),"$19,077,641","$13,209,403"
"Love, Wedding, Marriage", (2011),"$1,926","$513,897"
Keeper of the Flame, (1942),"$15,392","$15,392"
Keeping Mum, (2005),"$1,619,466","$16,967,368"
Lightning Man and the Mystery Island, (2018),"$453,672","$453,672"
We Need to Talk About Kevin, (2011),"$1,738,692","$7,473,482"
Testament of Youth, (2014),"$1,822,250","$4,029,508"
Chilly Dogs, (2001),"$213,464","$213,464"
Keith Lemon: The Film, (2012),"$4,682,943","$4,682,943"
Kidulthood, (2006),"$849,650","$849,650"
Kes, (1969),"$79,751","$79,751"
Kidnapped: The Abduction of Edgardo Mortara, (2023),"$36,459","$4,099,206"
Kiss or Kill, (1997),"$796,681","$5,047"
Kill List, (2011),"$29,063","$421,212"
Killers of Kilimanjaro, (1959),"$1,077","$1,077"
Killing Bono, (2011),"$717,798","$717,798"
Kick-Ass, (2010),"$48,071,303","$48,117,600"
Killing Me Softly, (2002),"$7,775,138","$7,775,138"
Bodies Bodies Bodies, (2022),"$11,446,602","$2,483,068"
The Lion King, (1994),"$424,979,720","$556,489,676"
King Lear, (1987),"$61,821","$23,197"
King Ralph, (1991),"$34,002,045","$18,485,000"
Kisna: The Warrior Poet, (2005),"$147,000","$338,613"
Kopps, (2003),"$3,930,933","$3,930,933"
Kiss Kiss Bang Bang, (2005),"$4,243,756","$11,541,392"
The Lord of the Rings: The Return of the King, (2003),"$381,878,219","$755,728,137"
Klimt, (2006),"$97,656","$487,335"
Kings, (2017),"$274,635","$635,634"
She's All That, (1999),"$63,366,989","$39,800,000"
Knights of the Zodiac, (2023),"$1,090,155","$5,896,022"
Arthur & Merlin: Knights of Camelot, (2020),"$48,504","$48,504"
Kisses, (2008),"$81,680","$43,381"
Nancy Drew, (2007),"$25,661,055","$5,054,410"
The Kovak Box, (2006),"$2,078,762","$2,078,762"
Knuckle, (2011),"$2,647","$22,008"
Wolf, (1994),"$65,002,597","$66,000,000"
Violetta: La emoción del concierto, (2014),"$5,288,810","$5,288,810"
Labyrinth, (1986),"$13,723,253","$942,092"
Lady in the Water, (2006),"$42,285,169","$30,500,000"
Lady Chatterley, (2006),"$687,414","$2,512,969"
The Lark Farm, (2007),"$1,563,640","$1,563,640"
Godzilla vs. Kong, (2021),"$100,916,094","$369,200,000"
The House, (2017),"$25,584,504","$8,700,000"
Lady Godiva, (2008),"$14,000","$14,000"
The Nun, (2018),"$117,481,222","$248,601,575"
La Vie En Rose, (2007),"$10,301,706","$77,183,141"
Once in the Desert, (2022),"$542,933","$542,933"
Lamb, (2021),"$2,676,410","$512,677"
Land of the Blind, (2006),"$5,244","$19,872"
Lassie, (1994),"$9,979,683","$14,926"
Lapland Odyssey, (2010),"$4,764,133","$4,764,133"
Last Train Home, (2009),"$288,328","$21,389"
Last Resort, (2000),"$37,283","$41,955"
Lara Croft: Tomb Raider - The Cradle of Life, (2003),"$65,660,196","$94,439,026"
Land of the Lost, (2009),"$49,438,370","$19,339,184"
Chorar de Rir, (2019),"$280,527","$280,527"
Last Orders, (2001),"$2,329,631","$4,544,261"
Late Night Shopping, (2001),"$1,743","$1,743"
Set It Off, (1996),"$36,461,139","$5,129,747"
Lawless Heart, (2001),"$330,067","$209,529"
Lawrence of Arabia, (1962),"$45,306,425","$417,967"
Lecture 21, (2008),"$338,622","$338,622"
Draugu lazybos, (2024),"$738,621","$738,621"
Lay the Favorite, (2012),"$20,998","$1,556,274"
Dead for a Dollar, (2022),"$81,403","$81,403"
Squealer, (2023),"$17,463","$17,463"
Leonie, (2010),"$53,692","$1,403,059"
Left/Right, (2008),"$85,379","$85,379"
The Remarkable Life of Ibelin, (2024),"$1,303,564","$1,303,564"
Les Misérables in Concert: The 25th Anniversary, (2010),"$742,004","$742,004"
Led Zeppelin: Celebration Day, (2012),"$134,753","$134,753"
The Legend of Tarzan, (2016),"$126,643,061","$230,600,000"
Vampire Killers, (2009),"$3,276,702","$3,276,702"
Ashes in the Snow, (2018),"$1,557,172","$1,557,172"
King Shakir: Let the Game Begin, (2018),"$685,572","$685,572"
Let's Get Lost, (1988),"$17,695","$538,735"
Let It Be, (2010),"$72,776","$72,776"
Let's Get Married, (2023),"$6,160","$6,160"
Kevin Hart: Let Me Explain, (2013),"$32,244,051","$74,000"
Liam, (2000),"$1,016,021","$929,668"
Life Goes On, (1989),"$7,025","$7,025"
Life and Lyrics, (2006),"$372,969","$372,969"
The Life Aquatic with Steve Zissou, (2004),"$24,020,403","$10,789,220"
Nausicaä of the Valley of the Wind, (1984),"$495,770","$8,520,449"
Billie Eilish Live at the O2, (2023),"$1,290,000","$833,117"
The Cure: Anniversary 1978-2018 Live in Hyde Park, (2019),"$378,405","$213,499"
We Live in Time, (2024),"$23,932,392","$4,837,103"
Look Back in Anger, (1959),"$7,593","$7,593"
London to Brighton, (2006),"$6,700","$442,981"
Loot, (2011),"$16,121","$16,121"
Lost at Christmas, (2020),"$5,262","$5,262"
Lost in La Mancha, (2002),"$732,393","$674,626"
The Lord of the Rings: The Fellowship of the Ring, (2001),"$319,372,078","$568,114,112"
The Heart and How to Use It, (2021),"$79,055","$79,055"
Taken, (2008),"$145,000,989","$81,836,771"
Love Thy Nature, (2014),"$41,149","$11,798"
Monopoly (The Bank of Luck), (2017),"$112,037","$112,037"
Made in Dagenham, (2010),"$1,095,369","$11,534,102"
Man on the Moon, (1999),"$34,607,430","$12,827,000"
Marry Me, (2022),"$22,438,180","$28,102,913"
The Mask of Zorro, (1998),"$94,095,523","$156,193,000"
You & Me & Me, (2023),"$32,069","$32,069"
Edge of Tomorrow, (2014),"$100,206,256","$276,808,977"
On the Line, (2022),"$112,081","$112,081"
Last Night in Soho, (2021),"$10,127,625","$12,830,000"
Miss Julie, (2014),"$527,094","$527,094"
Miss Conception, (2008),"$2,134","$567,072"
Gorillas in the Mist, (1988),"$24,720,479","$36,429,000"
Monsieur N., (2003),"$37,757","$822,337"
Monty Python and the Holy Grail, (1975),"$2,562,392","$253,068"
Os Dez Mandamentos - O Filme, (2016),"$31,998,251","$31,998,251"
Mothers' Instinct, (2024),"$3,407,219","$3,407,219"
Mr. Bean's Holiday, (2007),"$33,302,167","$198,923,741"
Mr. & Mrs. Smith, (2005),"$186,336,279","$300,951,367"
Nativity!, (2009),"$8,496,009","$8,496,009"
